Handle,Title,Vendor,Product Category,Type,Tags,Image Src
caskata-x-steele-everyday-tote-bag-arbor-green,Caskata x Steele Everyday Tote Bag Arbor Green,Caskata,Luggage & Bags > Tote Bags,Tote Bag,"accessories, Arbor, arbor green, beach, tote, totebag",https://cdn.shopify.com/s/files/1/0216/6478/files/arbor_green_tote_straight_on_square.jpg?v=1752852880
caskata-x-steele-everyday-tote-bag-lucy-the-octopus,Lucy the Octopus Caskata x Steele Everyday Tote Bag,Caskata,Luggage & Bags > Tote Bags,Tote Bag,"accessories, beach, Blue, Blue Lucy, Lucy, tote, totebag",https://cdn.shopify.com/s/files/1/0216/6478/files/Lucy_Tote_Bench_Sunglasses_SQ.jpg?v=1754488958
caskata-x-felix-doolittle-beach-dunes-small-rectangular-tray,Caskata X Felix Doolittle Beach Dunes Small Rectangular Tray,Caskata,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Trays,Serveware,"accessories, birch, birchwood, desk, Felix Doolittle, office, Platters & Trays, rectangular, Trays, wood",https://cdn.shopify.com/s/files/1/0216/6478/files/BeachDunesSmallRectangularTraySilo.jpg?v=1748620131
